"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.073796,0.27325,-0.0022259,-0.00088151,1,0.546,0.95,0,-0.454
-0.072886,0.27602,-0.0023029,-0.00090723,1,0.548,0.95,0,-0.452
-0.071337,0.28107,-0.0023396,-0.00096544,1,0.55,0.95,0,-0.45
-0.069788,0.28611,-0.0023764,-0.0010237,1,0.552,0.95,0,-0.448
-0.067605,0.29296,-0.0023721,-0.0011061,1,0.554,0.95,0,-0.446
-0.064153,0.30339,-0.0022856,-0.0012371,1,0.556,0.95,0,-0.444
-0.060701,0.31382,-0.0021991,-0.001368,1,0.558,0.95,0,-0.442
-0.057248,0.32426,-0.0021126,-0.001499,1,0.56,0.95,0,-0.44
-0.052074,0.33745,-0.001962,-0.0016512,1,0.562,0.95,0,-0.438
-0.0469,0.35064,-0.0018115,-0.0018035,1,0.564,0.95,0,-0.436
-0.041725,0.36383,-0.0016609,-0.0019557,1,0.566,0.95,0,-0.434
-0.035639,0.3774,-0.001522,-0.0020816,1,0.568,0.95,0,-0.432
-0.029096,0.39116,-0.0013888,-0.0021942,1,0.57,0.95,0,-0.43
-0.022553,0.40492,-0.0012556,-0.0023068,1,0.572,0.95,0,-0.428
-0.015707,0.4186,-0.0011442,-0.0023904,1,0.574,0.95,0,-0.426
-0.0082545,0.43212,-0.0010763,-0.0024158,1,0.576,0.95,0,-0.424
-0.00080172,0.44564,-0.0010085,-0.0024412,1,0.578,0.95,0,-0.422
0.0066511,0.45915,-0.00094065,-0.0024666,1,0.58,0.95,0,-0.42
0.014445,0.47257,-0.00092572,-0.0023893,1,0.582,0.95,0,-0.418
0.022239,0.48598,-0.00091079,-0.0023119,1,0.584,0.95,0,-0.416
0.030033,0.49939,-0.00089586,-0.0022346,1,0.586,0.95,0,-0.414
0.03752,0.51254,-0.00087312,-0.0021055,1,0.588,0.95,0,-0.412
0.044853,0.52555,-0.00084647,-0.0019506,1,0.59,0.95,0,-0.41
0.052185,0.53857,-0.00081983,-0.0017957,1,0.592,0.95,0,-0.408
0.058991,0.55082,-0.00076845,-0.0016384,1,0.594,0.95,0,-0.406
0.064741,0.56156,-0.00066758,-0.0014762,1,0.596,0.95,0,-0.404
0.070492,0.57229,-0.00056672,-0.001314,1,0.598,0.95,0,-0.402
0.076243,0.58303,-0.00046586,-0.0011518,1,0.6,0.95,0,-0.4
0.079209,0.58844,-0.00030124,-0.0010721,1,0.602,0.95,0,-0.398
0.082175,0.59385,-0.00013663,-0.00099252,1,0.604,0.95,0,-0.396
0.085141,0.59927,2.7988e-05,-0.0009129,1,0.606,0.95,0,-0.394
0.085812,0.5998,0.00017567,-0.00092552,1,0.608,0.95,0,-0.392
0.085336,0.59789,0.00031488,-0.00098427,1,0.61,0.95,0,-0.39
0.08486,0.59597,0.00045409,-0.001043,1,0.612,0.95,0,-0.388
0.083353,0.59192,0.00055385,-0.0011418,1,0.614,0.95,0,-0.386
0.079785,0.58357,0.00057469,-0.0013206,1,0.616,0.95,0,-0.384
0.076217,0.57523,0.00059554,-0.0014995,1,0.618,0.95,0,-0.382
0.072649,0.56688,0.00061639,-0.0016784,1,0.62,0.95,0,-0.38
0.067097,0.55522,0.00050709,-0.0019018,1,0.622,0.95,0,-0.378
0.061544,0.54356,0.00039779,-0.0021253,1,0.624,0.95,0,-0.376
0.055991,0.5319,0.0002885,-0.0023488,1,0.626,0.95,0,-0.374
0.049893,0.52002,0.00014208,-0.0025487,1,0.628,0.95,0,-0.372
0.043521,0.50802,-2.2906e-05,-0.0027367,1,0.63,0.95,0,-0.37
0.03715,0.49602,-0.00018789,-0.0029247,1,0.632,0.95,0,-0.368
0.030766,0.48435,-0.00034127,-0.0030839,1,0.634,0.95,0,-0.366
0.024356,0.4733,-0.00047145,-0.0031857,1,0.636,0.95,0,-0.364
0.017945,0.46226,-0.00060163,-0.0032874,1,0.638,0.95,0,-0.362
0.011535,0.45122,-0.00073181,-0.0033892,1,0.64,0.95,0,-0.36
0.0054817,0.44085,-0.00078039,-0.0033887,1,0.642,0.95,0,-0.358
-0.00057133,0.43049,-0.00082896,-0.0033883,1,0.644,0.95,0,-0.356
-0.0066244,0.42012,-0.00087753,-0.0033878,1,0.646,0.95,0,-0.354
-0.012305,0.40962,-0.00087819,-0.0033248,1,0.648,0.95,0,-0.352
-0.0178,0.39906,-0.00085489,-0.0032304,1,0.65,0.95,0,-0.35
-0.023295,0.38849,-0.00083158,-0.0031361,1,0.652,0.95,0,-0.348
-0.028549,0.37767,-0.00080064,-0.0030193,1,0.654,0.95,0,-0.346
-0.03332,0.36637,-0.00075441,-0.0028576,1,0.656,0.95,0,-0.344
-0.038091,0.35508,-0.00070819,-0.0026959,1,0.658,0.95,0,-0.342
-0.042863,0.34378,-0.00066196,-0.0025342,1,0.66,0.95,0,-0.34
-0.04672,0.3322,-0.00065176,-0.002347,1,0.662,0.95,0,-0.338
-0.050577,0.32062,-0.00064157,-0.0021599,1,0.664,0.95,0,-0.336
-0.054434,0.30904,-0.00063137,-0.0019727,1,0.666,0.95,0,-0.334
