"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.035678,0.34105,-0.0046664,-0.0004155,1,0.442,0.95,0,-0.558
-0.039572,0.33024,-0.004538,-0.00020613,1,0.444,0.95,0,-0.556
-0.043466,0.31943,-0.0044097,3.2364e-06,1,0.446,0.95,0,-0.554
-0.04736,0.30862,-0.0042814,0.00021261,1,0.448,0.95,0,-0.552
-0.051253,0.29782,-0.0041531,0.00042198,1,0.45,0.95,0,-0.55
-0.055147,0.28701,-0.0040248,0.00063135,1,0.452,0.95,0,-0.548
-0.058398,0.27731,-0.0039259,0.00082009,1,0.454,0.95,0,-0.546
-0.060362,0.26982,-0.003886,0.00096759,1,0.456,0.95,0,-0.544
-0.062326,0.26233,-0.003846,0.0011151,1,0.458,0.95,0,-0.542
-0.06429,0.25484,-0.0038061,0.0012626,1,0.46,0.95,0,-0.54
-0.066254,0.24736,-0.0037662,0.0014101,1,0.462,0.95,0,-0.538
-0.068218,0.23987,-0.0037263,0.0015576,1,0.464,0.95,0,-0.536
-0.070182,0.23238,-0.0036863,0.0017051,1,0.466,0.95,0,-0.534
-0.070689,0.23049,-0.0036265,0.0017404,1,0.468,0.95,0,-0.532
-0.070468,0.2314,-0.0035568,0.0017197,1,0.47,0.95,0,-0.53
-0.070246,0.23231,-0.003487,0.001699,1,0.472,0.95,0,-0.528
-0.070024,0.23323,-0.0034173,0.0016783,1,0.474,0.95,0,-0.526
-0.069803,0.23414,-0.0033476,0.0016575,1,0.476,0.95,0,-0.524
-0.069581,0.23505,-0.0032778,0.0016368,1,0.478,0.95,0,-0.522
-0.06936,0.23596,-0.0032081,0.0016161,1,0.48,0.95,0,-0.52
-0.06688,0.24484,-0.0029578,0.0014432,1,0.482,0.95,0,-0.518
-0.0644,0.25371,-0.0027075,0.0012704,1,0.484,0.95,0,-0.516
-0.06192,0.26259,-0.0024572,0.0010975,1,0.486,0.95,0,-0.514
-0.05944,0.27147,-0.0022068,0.00092469,1,0.488,0.95,0,-0.512
-0.05696,0.28035,-0.0019565,0.00075184,1,0.49,0.95,0,-0.51
-0.05448,0.28923,-0.0017062,0.00057899,1,0.492,0.95,0,-0.508
-0.051307,0.299,-0.0014277,0.00039981,1,0.494,0.95,0,-0.506
-0.046749,0.31055,-0.0010929,0.00020799,1,0.496,0.95,0,-0.504
-0.042191,0.32211,-0.00075808,1.6151e-05,1,0.498,0.95,0,-0.502
-0.037633,0.33366,-0.00042326,-0.00017568,1,0.5,0.95,0,-0.5
-0.033075,0.34522,-8.8441e-05,-0.00036751,1,0.502,0.95,0,-0.498
-0.028517,0.35678,0.00024638,-0.00055934,1,0.504,0.95,0,-0.496
-0.023959,0.36833,0.0005812,-0.00075117,1,0.506,0.95,0,-0.494
-0.018322,0.38006,0.0007701,-0.00084775,1,0.508,0.95,0,-0.492
-0.012145,0.39187,0.00088605,-0.0008967,1,0.51,0.95,0,-0.49
-0.0059685,0.40368,0.001002,-0.00094564,1,0.512,0.95,0,-0.488
